,SMA,average_return
137,The 139 sma,0.08067427141086059
138,The 140 sma,0.08200129067835804
139,The 141 sma,0.0822060003689733
140,The 142 sma,0.07919998337124068
141,The 143 sma,0.07990613523356904
142,The 144 sma,0.08135965040871596
143,The 145 sma,0.08201687558152848
144,The 146 sma,0.08100601916157246
145,The 147 sma,0.08098419119432831
146,The 148 sma,0.0816541917837823
147,The 149 sma,0.0816946340076603
148,The 150 sma,0.08258333958436737
149,The 151 sma,0.08459144547156461
150,The 152 sma,0.08612398227328111
151,The 153 sma,0.08541563298969868
152,The 154 sma,0.08376102818285025
153,The 155 sma,0.08509641622223962
154,The 156 sma,0.08433953839044372
155,The 157 sma,0.08546879386620221
156,The 158 sma,0.08391492386701316
157,The 159 sma,0.0857067286794968
158,The 160 sma,0.0858280294390592
159,The 161 sma,0.08721970539689572
160,The 162 sma,0.08755189084101334
161,The 163 sma,0.0893755810630783
162,The 164 sma,0.08592161099599704
163,The 165 sma,0.08306980877189085
164,The 166 sma,0.08597328008975458
165,The 167 sma,0.08616165974987489
166,The 168 sma,0.08857437489303521
167,The 169 sma,0.08739835578233701
168,The 170 sma,0.08986587393753687
169,The 171 sma,0.08986676465114374
170,The 172 sma,0.08922473800410202
171,The 173 sma,0.08745067179918475
172,The 174 sma,0.08614028525450146
173,The 175 sma,0.08768429100675235
174,The 176 sma,0.08809852839334842
175,The 177 sma,0.09151023008041359
176,The 178 sma,0.09256424184951606
177,The 179 sma,0.09119443046618758
178,The 180 sma,0.09295947861902931
179,The 181 sma,0.09512180230887513
180,The 182 sma,0.09506066935875657
181,The 183 sma,0.09837666586758176
182,The 184 sma,0.09967285236798085
183,The 185 sma,0.09779789078130707
184,The 186 sma,0.0987188487161692
185,The 187 sma,0.09784992539154658
186,The 188 sma,0.10025091306722311
187,The 189 sma,0.10018348524116294
188,The 190 sma,0.10043130927292121
189,The 191 sma,0.09971914278371696
190,The 192 sma,0.10188523086530821
191,The 193 sma,0.10339805482822673
192,The 194 sma,0.10283122632079311
193,The 195 sma,0.10317080209860707
194,The 196 sma,0.10178938670093496
195,The 197 sma,0.10017525452633658
196,The 198 sma,0.10340878667721554
197,The 199 sma,0.0980641438756884
198,The 200 sma,0.09280296215613149
199,The 201 sma,0.09050170162765747
200,The 202 sma,0.09174205753915743
201,The 203 sma,0.08627405138608801
202,The 204 sma,0.08659259122689367
203,The 205 sma,0.08613190012656502
204,The 206 sma,0.08915266831133484
205,The 207 sma,0.08540620698491441
206,The 208 sma,0.09017384330282652
207,The 209 sma,0.09156545511069569
208,The 210 sma,0.09344480403554267
209,The 211 sma,0.09305860392219767
210,The 212 sma,0.09260982916778371
211,The 213 sma,0.09341070714775723
212,The 214 sma,0.09345862173988717
213,The 215 sma,0.09796964983896572
214,The 216 sma,0.10207609391365113
215,The 217 sma,0.09754259417106681
216,The 218 sma,0.09454287199197009
217,The 219 sma,0.0943773568461661
218,The 220 sma,0.09459016648483942
219,The 221 sma,0.09451374411460334
220,The 222 sma,0.09334853947736921
221,The 223 sma,0.09536837675077003
222,The 224 sma,0.10183571713856177
223,The 225 sma,0.10319382968086321
224,The 226 sma,0.10075329314838699
225,The 227 sma,0.09909233289120079
226,The 228 sma,0.09707997518059441
227,The 229 sma,0.09143974342653682
228,The 230 sma,0.09162234563544214
229,The 231 sma,0.09435529037488144
230,The 232 sma,0.09759908607892664
231,The 233 sma,0.09155166358477262
232,The 234 sma,0.09058353494049531
233,The 235 sma,0.08825175387535467
234,The 236 sma,0.08767731981510996
235,The 237 sma,0.08653761324941711
236,The 238 sma,0.08626066403337918
237,The 239 sma,0.08626066403337895
238,The 240 sma,0.08564595493168636
239,The 241 sma,0.08743892015374444
240,The 242 sma,0.0914392438206939
241,The 243 sma,0.09049535756595017
242,The 244 sma,0.09050299941682693
243,The 245 sma,0.0932132428830943
244,The 246 sma,0.0950951906214339
245,The 247 sma,0.09515026567354523
246,The 248 sma,0.09793484543604314
247,The 249 sma,0.0979348454360438
248,The 250 sma,0.09843819706931711
249,The 251 sma,0.10009080731631692
250,The 252 sma,0.1000908073163167
251,The 253 sma,0.10007394310546514
252,The 254 sma,0.09909424559458846
253,The 255 sma,0.09869283692186803
254,The 256 sma,0.09869283692186759
255,The 257 sma,0.09873646726788898
256,The 258 sma,0.09873646726788898
257,The 259 sma,0.09913789188100686
258,The 260 sma,0.09873646726788943
259,The 261 sma,0.09873646726788965
260,The 262 sma,0.0987364672678892
261,The 263 sma,0.09954181648832128
262,The 264 sma,0.09954181648832039
263,The 265 sma,0.10007604670419146
264,The 266 sma,0.10012561051241464
265,The 267 sma,0.10012561051241509
266,The 268 sma,0.10056747277300304
267,The 269 sma,0.10056747277300415
268,The 270 sma,0.10056747277300349
269,The 271 sma,0.1006662782279577
270,The 272 sma,0.10121536700377409
271,The 273 sma,0.1011158152101328
272,The 274 sma,0.10119100089981159
273,The 275 sma,0.10122510218183689
274,The 276 sma,0.09948576845806922
275,The 277 sma,0.09803120051534009
276,The 278 sma,0.09875622691592278
277,The 279 sma,0.09812710652394463
278,The 280 sma,0.0997003555888516
279,The 281 sma,0.10190470903295168
280,The 282 sma,0.10108375603746245
281,The 283 sma,0.10148974063245597
282,The 284 sma,0.10171967481288613
283,The 285 sma,0.09917440588265536
284,The 286 sma,0.09873046172706745
285,The 287 sma,0.10050497003077563
286,The 288 sma,0.1003265705316454
287,The 289 sma,0.1025941090499165
288,The 290 sma,0.10217015350356706
289,The 291 sma,0.10162058865143808
290,The 292 sma,0.10252466590052789
291,The 293 sma,0.10252466590052767
292,The 294 sma,0.10110783718999405
293,The 295 sma,0.10284973694865629
294,The 296 sma,0.10308628862153624
295,The 297 sma,0.10209497918811561
296,The 298 sma,0.10206119034568673
297,The 299 sma,0.10206119034568695
298,The 300 sma,0.10036341245005209
